,0,1,2,3,4
0,554.5,387.91,350.81,204.94,417.24
1,548.92,382.83,349.12,203.34,412.41
2,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
3,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
4,542.62,382.02,348.77,202.73,407.38
5,547.87,388.7,343.72,205.03,390.43
6,550.48,384.89,354.61,213.14,387.18
7,555.38,379.82,349.06,203.85,393.52
8,560.63,388.09,344.11,207.36,395.88
9,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
10,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
11,567.31,383.22,334.86,206.62,398.51
12,567.29,383.76,338.09,198.35,406.48
13,557.46,383.76,336.44,208.67,441.71
14,561.1,385.07,337.37,215.3,425.68
15,561.37,376.36,342.08,215.57,413.58
16,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
17,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
18,554.89,375.13,344.19,212.76,412.89
19,554.08,376.54,345.6,196.46,413.52
20,552.63,376.85,343.6,197.48,408.67
21,559.04,382.64,344.34,200.99,409.89
22,556.72,383.24,340.4,195.47,429.43
23,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
24,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
25,565.33,380.75,355.07,207.4,430.06
26,566.46,380.71,350.26,214.99,431.13
27,559.96,378.22,346.69,213.76,435.78
28,556.28,385.04,374.16,205.96,433.3
29,551.85,384.44,359.4,209.98,433.77
30,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
31,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
32,557.86,385.77,352.37,220.88,425.05
33,560.87,386.48,351.17,212.99,429.94
34,557.15,387.57,347.86,213.72,427.9
35,552.7,388.58,351.72,211.34,420.95
36,551.04,387.75,353.2,205.09,405.82
37,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
38,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
39,559.01,392.66,352.26,206.13,419.85
40,563.53,389.8,341.08,202.16,413.69
41,573.66,389.44,328.63,203.84,413.26
42,572.16,385.82,331.88,212.21,426.46
43,563.68,383.92,349.02,204.01,432.6
44,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
45,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
46,562.02,381.36,352.82,208.5,425.75
47,559.1,383.27,351.23,208.12,443.15
48,567.35,386.46,338.41,211.96,442.7
49,562.54,383.78,337.16,213.0,435.2
50,560.06,385.09,336.51,217.98,430.31
51,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
52,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
53,553.08,384.47,336.42,212.79,424.26
54,553.23,384.52,334.14,216.16,418.65
55,556.03,382.0,339.46,218.64,418.65
56,558.05,386.52,340.15,219.19,418.13
57,557.34,386.91,348.54,219.04,415.57
58,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
59,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
60,557.13,384.43,343.03,227.07,400.84
61,562.88,391.49,346.0,224.06,404.02
62,562.67,391.95,345.5,214.84,427.59
63,561.34,388.47,344.36,229.81,437.2
64,552.44,387.5,346.76,231.44,427.19
65,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
66,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
67,550.81,388.3,342.89,225.17,416.62
68,563.64,388.09,339.3,219.01,415.85
69,564.69,378.79,342.96,221.69,409.99
70,566.63,382.89,343.5,219.56,418.68
71,564.38,385.69,346.83,221.84,413.66
72,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
73,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
74,561.91,393.22,346.08,224.5,402.97
75,560.82,392.83,355.96,221.74,418.02
76,566.41,387.6,346.43,231.02,422.45
77,565.55,390.88,352.83,222.59,407.08
78,566.42,391.19,352.6,230.68,404.31
79,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
80,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
81,569.54,389.48,343.34,229.53,416.64
82,565.22,392.22,342.92,240.54,407.05
83,557.6,396.51,341.52,240.57,416.52
84,558.77,394.11,330.15,238.87,408.91
85,557.2,388.48,344.35,231.35,393.67
86,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
87,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
88,555.73,384.91,347.34,233.93,397.3
89,571.82,390.0,349.28,227.34,429.07
90,563.84,387.71,347.99,242.25,429.0
91,559.84,389.53,353.52,230.16,424.21
92,573.88,385.38,359.63,236.97,428.21
93,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
94,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
95,565.37,389.66,359.75,238.46,408.99
96,558.34,387.98,358.79,233.12,411.47
97,561.75,384.97,356.48,233.36,428.27
98,564.53,383.92,354.75,234.2,447.84
99,569.33,383.52,348.82,232.43,439.76
100,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
101,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
102,574.5,385.84,344.37,226.24,442.05
103,570.16,382.42,345.6,238.33,431.28
104,565.8,384.23,344.41,235.24,429.06
105,576.24,383.51,340.64,238.02,407.66
106,568.5,385.9,342.26,239.67,422.81
107,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
108,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
109,555.8,385.86,342.68,233.91,426.27
110,566.26,381.62,344.06,249.48,413.69
111,565.59,386.91,349.95,245.64,415.5
112,569.11,384.86,349.76,231.11,418.12
113,564.99,382.64,353.34,232.23,413.56
114,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
115,544.3252318896128,328.2088424683787,267.48713300114986,169.51553852050594,308.98949405902647
116,556.22,381.9,349.08,228.38,420.35
117,562.79,383.62,357.03,232.32,421.52
118,562.5,387.51,354.89,240.3,419.74
119,581.95,384.75,358.58,237.28,404.87
120,572.63,385.78,359.56,238.5,401.02
